,Calle Counts,Altura
164,,
165,,1429.0
166,,
167,,
168,,
169,,
170,,
171,,
172,,2651.0
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,2699.0
181,,2186.0
182,,
183,,5940.0
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,4900.0
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,2950.0
204,,
205,,3696.0
206,,
207,,
208,,133.0
209,,
210,,
211,,1930.0
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,390.0
220,,
221,,901.0
222,,
223,,
224,,
225,,
226,,2639.0
227,,
228,,
229,,2114.0
230,,5400.0
231,,2135.0
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,5750.0
248,,
249,,
250,,
251,,1211.0
252,,
253,,
254,,
255,,
256,,611.0
257,,
258,,
259,,
260,,3555.0
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,6350.0
281,,
282,,
283,,
284,,365.0
285,,5249.0
286,,
287,,937.0
288,,
289,,
290,,1019.0
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,2800.0
301,,2800.0
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,2320.0
322,,6950.0
323,,
324,,
325,,1571.0
326,,1571.0
327,,
328,,
329,,
330,,
331,,
332,,
333,,879.0
334,,
335,,
336,,
337,,2300.0
338,,
339,,
340,,
341,,
342,,2430.0
343,,
344,,11050.0
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,2215.0
358,,
359,,
360,,
361,,3400.0
362,,2968.0
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,1513.0
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,150.0
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,14800.0
407,,5321.0
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,11200.0
419,,11200.0
420,,
421,,
422,,550.0
423,,
424,,
425,,
426,,
427,,7013.0
428,,
429,,1893.0
430,,1974.0
431,,1400.0
432,,
433,,5172.0
434,,
435,,
436,,
437,,
438,,
439,,
440,,4650.0
441,,
442,,16080.0
443,,
444,,4100.0
445,,4100.0
446,,
447,,
448,,
449,,5402.0
450,,5638.0
451,,
452,,
453,,
454,,6326.0
455,,3444.0
456,,
457,,1260.0
458,,
459,,1325.0
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,3050.0
470,,665.0
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,650.0
480,,
481,,
482,,1700.0
483,,1548.0
484,,
485,,
486,,
487,,
488,,2976.0
489,,
490,,305.0
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,4706.0
502,,5600.0
503,,2874.0
504,,
505,,
506,,
507,,1788.0
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,4300.0
516,,2428.0
517,,
518,,
519,,
520,,6700.0
521,,
522,,
523,,
524,,5455.0
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,365.0
533,,4300.0
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,2250.0
545,,
546,,
547,,
548,,
549,,466.0
550,,2860.0
551,,
552,,
553,,
554,,770.0
555,,
556,,901.0
557,,
558,,
559,,1279.0
560,,
561,,
562,,1339.0
563,,2551.0
564,,
565,,
566,,
567,,
568,,1550.0
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,,
584,,
585,,
586,,
587,,614.0
588,,
589,,
590,,
591,,
592,,
593,,
594,,5437.0
595,,
596,,
597,,
598,,1100.0
599,,
600,,
601,,1845.0
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,1118.0
619,,
620,,
621,,
622,,
623,,
624,,3800.0
625,,
626,,
627,,
628,,
629,,
630,,1675.0
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,1623.0
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,10900.0
662,,
663,,
664,,
665,,
666,,
667,,
668,,4000.0
669,,5958.0
670,,
671,,14723.0
672,,5783.0
673,,
674,,
675,,
676,,
677,,
678,,2269.0
679,,
680,,
681,,2723.0
682,,2906.0
683,,
684,,
685,,
686,,
687,,5071.0
688,,3428.0
689,,
690,,2730.0
691,,
692,,
693,,
694,,
695,,2152.0
696,,1169.0
697,,
698,,3112.0
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,1359.0
707,,
708,,3655.0
709,,
710,,
711,,
712,,
713,,
714,,
715,,4071.0
716,,709.0
